"","Country.Name","Surviveto65Female2014","Survivorto65Male2014","LifeFemale2014","LifeMale2014","LifeTotal2014","HealthPerCapita2014","HealthGDP2014","PopFemale2014","PopMale2014","RuralPop2014","Sanitation2014","CO22014","Greenhouse2012","Education2014","Water2014"
"99","Morocco",87.4363224,84.842382,76.724,74.172,75.477,182.3083164,5.68352843,17269393,16922954,39.744,86.6509281,59863.775,80436.71521,9,83.59668366
"100","Mozambique",53.0808496,39.840846,58.727,53.222,56.062,36.54654576,5.86351609,13569513,12716650,66.122,25.64196973,8426.766,380308.2925,NA,48.95916359
"101","Myanmar",72.404411,58.580022,68.609,62.082,65.378,64.22121992,5.02961666,27081932,25198875,70.35,65.47027915,21631.633,528416.2177,5,78.28081008
"102","Namibia",60.174147,47.4712896,64.089,58.595,61.425,442.4414354,8.20442635,1173380,1100050,54.174,33.5730819,3755.008,38049.27078,7,81.54271749
"103","Nepal",75.8258702,69.7196044,70.586,67.792,69.168,41.00963263,5.76784756,14412033,12494893,81.818,52.66065537,8030.73,40762.71529,NA,87.3932624
"104","Netherlands",92.046475,88.7752908,83.5,80,81.70731707,5675.55011,10.8585376,8483667,8381341,10.31,97.74690004,167303.208,195873.7639,13,100.0000007
"105","New Zealand",91.7529478,87.942398,83.3,79.6,81.40487805,4144.538425,9.41845045,2292539,2217161,13.719,100.0000013,34664.151,78130.97988,10,100.0000013
"106","Nicaragua",81.9920138,70.387514,76.795,70.026,73.429,153.0401048,7.74704644,3115566,3027167,42.3,72.39542484,4862.442,16323.04343,7,81.44398571
"107","Niger",61.5961282,56.5327478,61.214,58.988,60.07,25.14721013,5.85065649,9598576,9641581,83.781,12.33280926,2126.86,11460.91583,NA,47.93507217
"108","Nigeria",48.207132,43.9811436,53.506,51.865,52.672,107.2197541,3.32807245,87099883,89305019,53.018,36.96303431,96280.752,301010.1259,9,67.30707971
"109","North Macedonia",87.8068546,78.6589698,77.352,73.291,75.299,343.9353639,6.2901231,1038325,1039450,42.716,97.57483228,7510.016,12992.24699,13,93.16955633
"110","Norway",92.6098148,88.5006586,84.2,80.1,82.1,9118.316771,9.32755791,2553889,2583343,19.308,98.057924,47626.996,63536.73207,10,100
"111","Oman",87.2379862,81.7765794,79.141,74.875,76.634,721.9329557,3.52693373,1425910,2601350,19.855,99.83530155,61169.227,62201.5508,NA,90.53712471
"112","Pakistan",71.9558028,67.6089772,67.323,65.468,66.36,36.52147697,2.72200845,94775532,100531293,64.181,55.19319682,166298.45,369734.5837,12,90.48406022
"113","Panama",86.7354954,77.397768,80.765,74.58,77.583,883.6765885,6.73432699,1943938,1957377,33.629,79.74654155,8800.8,16248.77229,11,94.88219039
"114","Papua New Guinea",66.9440696,58.7072714,64.543,61.911,63.181,107.0961839,3.61078618,3896119,4050612,87.012,14.72824381,6318.241,11087.45706,NA,39.56325937
"115","Paraguay",80.1591494,74.1469668,75.494,71.577,73.473,359.3796361,7.6255708,3241015,3358511,39.526,86.59574822,5702.185,50843.9542,13,95.93427087
"116","Peru",85.1566866,77.037177,78.161,72.944,75.529,331.8674472,5.06223495,15137227,14953132,22.827,72.83343991,61744.946,74806.95674,14,89.48704712
"117","Philippines",79.053124,64.1486934,74.851,66.48,70.481,117.3398948,4.12741177,49899689,50613449,53.907,73.13895592,105653.604,167297.5497,11,92.08550355
"118","Poland",89.3580704,75.0480756,81.7,73.7,77.60243902,896.0129455,6.24838964,19595127,18416608,39.597,97.00370303,285739.974,414606.8923,10,98.70637152
"119","Portugal",93.0571866,83.966856,84.4,78,81.12195122,1986.894638,9.02232798,5468262,4932800,37.064,99.31540498,45052.762,72524.21851,12,99.90317997
"120","Qatar",91.1358752,91.694404,81.34,78.433,79.646,2104.407228,2.42296092,584692,1874506,1.132,100,107853.804,103155.1207,9,99.75320111
"121","Romania",86.9971718,71.7822554,78.7,71.3,74.9097561,503.4623518,5.03119789,10221124,9687855,46.1,82.06891281,70003.03,121762.2251,10,100
